artist,popularity_mean,popularity_count,danceability_mean,energy_mean,tempo_mean,popularity_cluster,danceability_cluster,energy_cluster
$MXTI,4.555555555555555,18,0.6737777777777778,0.5459444444444445,119.84983333333334,Very Low,Medium Dance,Medium Energy
1da-Toul,4.3076923076923075,13,0.682076923076923,0.6503846153846153,115.6723076923077,Very Low,Medium Dance,Medium Energy
20fyee,5.0,6,0.584,0.48500000000000004,115.593,Very Low,Medium Dance,Medium Energy
4lfa,26.153846153846153,13,0.7023076923076922,0.5694615384615385,119.37038461538462,Low,Medium Dance,Medium Energy
666GNG,4.333333333333333,3,0.5743333333333334,0.7233333333333333,87.49566666666665,Very Low,Medium Dance,High Energy
7Baby,13.076923076923077,13,0.6158461538461538,0.4893846153846154,120.52184615384616,Very Low,Medium Dance,Medium Energy
90s Shawty,10.0,2,0.4225,0.41700000000000004,77.958,Very Low,Low Dance,Medium Energy
A.L.A,30.233333333333334,30,0.7650333333333333,0.5670000000000001,120.83836666666666,Low,High Dance,Medium Energy
ABA,2.0,1,0.806,0.478,144.04,Very Low,High Dance,Medium Energy
Abdeelgha4,31.0,1,0.707,0.515,109.027,Low,Medium Dance,Medium Energy
Al Nather,44.0,1,0.747,0.557,144.149,Medium,High Dance,Medium Energy
Amir Eid,38.0,1,0.82,0.525,119.996,Medium,High Dance,Medium Energy
Artmasta,0.0,1,0.726,0.456,93.999,Very Low,Medium Dance,Medium Energy
Aymen Lessigue,0.0,1,0.726,0.456,93.999,Very Low,Medium Dance,Medium Energy
BAD KA$H,4.333333333333333,3,0.73,0.5656666666666667,121.15233333333333,Very Low,Medium Dance,Medium Energy
BAXV,6.129032258064516,31,0.7384838709677419,0.4841290322580645,129.06312903225805,Very Low,Medium Dance,Medium Energy
BAYA,36.0,2,0.599,0.49550000000000005,81.8945,Medium,Medium Dance,Medium Energy
BL made it,7.0,1,0.669,0.704,109.131,Very Low,Medium Dance,High Energy
BVNGBELV,9.0,1,0.609,0.508,98.454,Very Low,Medium Dance,Medium Energy
BadBoy 7low,0.0,1,0.879,0.634,95.026,Very Low,High Dance,Medium Energy
Balti,0.0,2,0.7595,0.63,88.4915,Very Low,High Dance,Medium Energy
Belhadj,0.0,1,0.629,0.484,86.869,Very Low,Medium Dance,Medium Energy
BigSeno,25.0,1,0.417,0.825,169.727,Low,Low Dance,High Energy
Black T,16.0,1,0.775,0.823,100.311,Very Low,High Dance,High Energy
Blanka,52.0,1,0.801,0.586,83.656,High,High Dance,Medium Energy
Blingos,25.5,2,0.5805,0.592,91.545,Low,Medium Dance,Medium Energy
Bloody,1.0,2,0.489,0.6525000000000001,101.721,Very Low,Low Dance,Medium Energy
Bo9al,36.0,1,0.675,0.437,90.559,Medium,Medium Dance,Medium Energy
Boldy James,37.0,1,0.546,0.455,143.202,Medium,Low Dance,Medium Energy
Brahim Biskri,28.0,1,0.652,0.964,103.997,Low,Medium Dance,High Energy
Brotherhood Family,31.75,4,0.7797499999999999,0.53175,122.24375,Low,High Dance,Medium Energy
COSMIC,25.0,5,0.6644,0.5746,111.8894,Low,Medium Dance,Medium Energy
Calhoven,4.0,1,0.935,0.514,116.102,Very Low,High Dance,Medium Energy
Catcher,10.9,20,0.7718499999999999,0.51675,127.81030000000001,Very Low,High Dance,Medium Energy
Cheb Bachir,0.0,1,0.417,0.498,119.995,Very Low,Low Dance,Medium Energy
Cheb Terro vs DJ Die Soon,0.0,4,0.661,0.631,120.0685,Very Low,Medium Dance,Medium Energy
Cheb terro,14.0,29,0.7400689655172413,0.5222413793103449,126.23782758620689,Very Low,Medium Dance,Medium Energy
Conway the Machine,40.0,1,0.692,0.807,132.205,Medium,Medium Dance,High Energy
Cultura Profética,18.0,2,0.8214999999999999,0.572,122.478,Low,High Dance,Medium Energy
Curren$y,48.0,2,0.5715,0.639,107.225,Medium,Medium Dance,Medium Energy
Cuzama,17.0,1,0.817,0.724,120.018,Low,High Dance,High Energy
D-Boy,0.0,2,0.687,0.6725,129.8345,Very Low,Medium Dance,High Energy
DACHI,7.583333333333333,12,0.7135833333333333,0.5558333333333333,132.84583333333333,Very Low,Medium Dance,Medium Energy
