track_name,album_name,artist,all_artists,source_playlist,popularity,danceability,energy,tempo
Ibliss Nzis,COLLECTION OF CHEB TERRO X DJ HRIZEN,DJ Hrizen,"DJ Hrizen, Cheb terro",2k23,11,0.817,0.516,139.916
Ibliss Nzis,COLLECTION OF CHEB TERRO X DJ HRIZEN,Cheb terro,"DJ Hrizen, Cheb terro",2k23,11,0.817,0.516,139.916
S P D,COLLECTION OF CHEB TERRO X DJ HRIZEN,DJ Hrizen,"DJ Hrizen, Cheb terro",2k23,8,0.671,0.645,140.05
S P D,COLLECTION OF CHEB TERRO X DJ HRIZEN,Cheb terro,"DJ Hrizen, Cheb terro",2k23,8,0.671,0.645,140.05
Azmi,COLLECTION OF CHEB TERRO X DJ HRIZEN,DJ Hrizen,"DJ Hrizen, Cheb terro",2k23,13,0.737,0.635,135.063
Azmi,COLLECTION OF CHEB TERRO X DJ HRIZEN,Cheb terro,"DJ Hrizen, Cheb terro",2k23,13,0.737,0.635,135.063
1-2-3 - Freestyle,Stuxnet,dopeman,dopeman,2k23,6,0.818,0.5,159.978
RIDIN THRU,GOOD KID TOXIC CITY.,XIIVI,XIIVI,2k23,0,0.632,0.628,77.104
بطل عالم,عقد احتراف,Marwan Moussa,Marwan Moussa,2k23,50,0.879,0.505,110.991
FAST 5 - خمسة في السريع (feat. KADDY),METHANOL 62,Mahdy Madness,"Mahdy Madness, KADDY",2k23,0,0.424,0.318,141.971
FAST 5 - خمسة في السريع (feat. KADDY),METHANOL 62,KADDY,"Mahdy Madness, KADDY",2k23,0,0.424,0.318,141.971
LONELY,WORDS OF WEAKNESS,ZDEFF,"ZDEFF, SALTY TEA",2k23,27,0.834,0.613,111.922
LONELY,WORDS OF WEAKNESS,SALTY TEA,"ZDEFF, SALTY TEA",2k23,27,0.834,0.613,111.922
Zidou - Dirty Live Edit,Zidou,SAFFWIZZ,"SAFFWIZZ, GAL3Y",2k23,4,0.63,0.667,92.262
Zidou - Dirty Live Edit,Zidou,GAL3Y,"SAFFWIZZ, GAL3Y",2k23,4,0.63,0.667,92.262
WATERBOYZ (with JID & J. Cole),GHETTO GODS,EARTHGANG,"EARTHGANG, JID, J. Cole",2k23,53,0.842,0.657,140.057
WATERBOYZ (with JID & J. Cole),GHETTO GODS,JID,"EARTHGANG, JID, J. Cole",2k23,53,0.842,0.657,140.057
WATERBOYZ (with JID & J. Cole),GHETTO GODS,J. Cole,"EARTHGANG, JID, J. Cole",2k23,53,0.842,0.657,140.057
John Redcorn - A COLORS SHOW,John Redcorn - A COLORS SHOW,SiR,SiR,2k23,0,0.739,0.361,144.006
Tiramisu fraise,La boulangerie (Back Burners),La Fine Equipe,"La Fine Equipe, Blanka",2k23,52,0.801,0.586,83.656
Tiramisu fraise,La boulangerie (Back Burners),Blanka,"La Fine Equipe, Blanka",2k23,52,0.801,0.586,83.656
White,channel ORANGE,Frank Ocean,"Frank Ocean, John Mayer",2k23,63,0.608,0.0664,139.232
White,channel ORANGE,John Mayer,"Frank Ocean, John Mayer",2k23,63,0.608,0.0664,139.232
Bya Wala Bik,Malak,Racha Rizk,Racha Rizk,2k23,26,0.569,0.322,159.82
Wahda Fada'ya,Wahda Fada'ya,Galaleo,"Galaleo, Amir Eid",2k23,38,0.82,0.525,119.996
Wahda Fada'ya,Wahda Fada'ya,Amir Eid,"Galaleo, Amir Eid",2k23,38,0.82,0.525,119.996
Who Shot Ya? - 2007 Remaster,Greatest Hits,The Notorious B.I.G.,The Notorious B.I.G.,2k23,56,0.824,0.73,91.743
NKD GLG,Sindibad el Ward,Al Nather,"Al Nather, Shabjdeed",2k23,44,0.747,0.557,144.149
NKD GLG,Sindibad el Ward,Shabjdeed,"Al Nather, Shabjdeed",2k23,44,0.747,0.557,144.149
Llevarte Allí,Sobrevolando,Cultura Profética,Cultura Profética,2k23,0,0.817,0.567,128.04
Es Por Ti,Un Día Normal,Juanes,Juanes,2k23,49,0.691,0.759,129.949
Marble Columns (feat. Larry June),VICES,Curren$y,"Curren$y, Harry Fraud, Larry June",2k23,45,0.548,0.723,135.892
Marble Columns (feat. Larry June),VICES,Harry Fraud,"Curren$y, Harry Fraud, Larry June",2k23,45,0.548,0.723,135.892
Marble Columns (feat. Larry June),VICES,Larry June,"Curren$y, Harry Fraud, Larry June",2k23,45,0.548,0.723,135.892
Spin The Block,Spin The Block,K CAMP,K CAMP,2k23,0,0.798,0.574,109.959
Bye Bye Lmiziria - Remix,Bye Bye Lmiziria (Remix),Didou Parisien,"Didou Parisien, DJ Psyico",2k23,42,0.734,0.682,91.986
Bye Bye Lmiziria - Remix,Bye Bye Lmiziria (Remix),DJ Psyico,"Didou Parisien, DJ Psyico",2k23,42,0.734,0.682,91.986
Year Zero,Maps,billy woods,"billy woods, Kenny Segal, Danny Brown",2k23,35,0.51,0.765,90.542
Year Zero,Maps,Kenny Segal,"billy woods, Kenny Segal, Danny Brown",2k23,35,0.51,0.765,90.542
Year Zero,Maps,Danny Brown,"billy woods, Kenny Segal, Danny Brown",2k23,35,0.51,0.765,90.542
Kenwood Speakers,Maps,billy woods,"billy woods, Kenny Segal",2k23,34,0.651,0.705,159.866
Kenwood Speakers,Maps,Kenny Segal,"billy woods, Kenny Segal",2k23,34,0.651,0.705,159.866
