Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Source_Playlist,Artist1,Artist2,Artist3,Artist4,Artist5,Artist6
spotify:track:0GWwJXEIcnljI4Qv5QY0Hl,Ibliss Nzis,COLLECTION OF CHEB TERRO X DJ HRIZEN,"DJ Hrizen,Cheb terro",2022-07-14,174192,11,True,o521z02pw23ivep6jemptk48g,2023-10-01T10:07:23Z,arabic hip hop,Phantom Production,0.817,0.516,5,-12.323,0,0.551,0.216,0.0,0.147,0.0746,139.916,4,2k23,DJ Hrizen,Cheb terro,,,,
spotify:track:2IcLUidzCiq9c0JYIE2MQA,S P D,COLLECTION OF CHEB TERRO X DJ HRIZEN,"DJ Hrizen,Cheb terro",2022-07-14,179064,8,True,o521z02pw23ivep6jemptk48g,2023-10-01T10:12:45Z,arabic hip hop,Phantom Production,0.671,0.645,8,-9.639,0,0.167,0.134,0.00128,0.361,0.226,140.05,4,2k23,DJ Hrizen,Cheb terro,,,,
spotify:track:5akDzxyX14CwLlT4apXa9C,Azmi,COLLECTION OF CHEB TERRO X DJ HRIZEN,"DJ Hrizen,Cheb terro",2022-07-14,170784,13,True,o521z02pw23ivep6jemptk48g,2023-10-01T10:12:57Z,arabic hip hop,Phantom Production,0.737,0.635,1,-9.655,1,0.0998,0.00188,0.0,0.331,0.516,135.063,4,2k23,DJ Hrizen,Cheb terro,,,,
spotify:track:3PV7wLaOBOxBjFv5wbaaiA,1-2-3 - Freestyle,Stuxnet,dopeman,2022-12-23,72016,6,True,o521z02pw23ivep6jemptk48g,2023-10-01T10:17:42Z,arabic hip hop,Dopeman,0.818,0.5,1,-12.91,0,0.204,0.00133,0.00582,0.109,0.413,159.978,4,2k23,dopeman,,,,,
spotify:track:4M7XkRwTcC35CV9a5hU6ZE,RIDIN THRU,GOOD KID TOXIC CITY.,XIIVI,2022-01-09,135976,0,True,o521z02pw23ivep6jemptk48g,2023-10-01T10:21:10Z,arabic hip hop,XIIVI,0.632,0.628,7,-5.143,1,0.355,0.0862,0.0,0.115,0.612,77.104,4,2k23,XIIVI,,,,,
spotify:track:2E2ZmCeuHrHOECN01QhN0A,بطل عالم,عقد احتراف,Marwan Moussa,2022-06-17,183783,50,False,o521z02pw23ivep6jemptk48g,2023-10-01T10:21:37Z,"egyptian hip hop,arabic hip hop,egyptian pop,mahraganat",The Basement Records,0.879,0.505,10,-6.658,1,0.0636,0.193,0.000134,0.0894,0.71,110.991,4,2k23,Marwan Moussa,,,,,
spotify:track:1bI6ElKrFx0vY8af6uOZlR,FAST 5 - خمسة في السريع (feat. KADDY),METHANOL 62,"Mahdy Madness,KADDY",2023-08-08,100000,0,False,o521z02pw23ivep6jemptk48g,2023-10-01T10:24:31Z,"egyptian hip hop,arabic hip hop,mahraganat,egyptian pop",B-62,0.424,0.318,1,-18.643,1,0.0435,0.0361,0.0264,0.159,0.281,141.971,4,2k23,Mahdy Madness,KADDY,,,,
spotify:track:4MVVyZey7M05hzObRVQBd9,LONELY,WORDS OF WEAKNESS,"ZDEFF,SALTY TEA",2022-02-13,258709,27,True,o521z02pw23ivep6jemptk48g,2023-10-01T10:25:22Z,"arabic hip hop,moroccan rap",3191691 Records DK2,0.834,0.613,1,-8.271,0,0.0952,0.0444,0.0,0.117,0.364,111.922,4,2k23,ZDEFF,SALTY TEA,,,,
spotify:track:1E8cYUM1C21xYfAhzQHNuZ,Zidou - Dirty Live Edit,Zidou,"SAFFWIZZ,GAL3Y",2022-11-04,215715,4,True,o521z02pw23ivep6jemptk48g,2023-10-01T10:26:23Z,"arabic hip hop,moroccan rap",Bloc C Records,0.63,0.667,11,-9.167,0,0.204,0.129,2.63e-05,0.55,0.503,92.262,4,2k23,SAFFWIZZ,GAL3Y,,,,
spotify:track:1KyXCd04yHni5pMGFwgzuE,WATERBOYZ (with JID & J. Cole),GHETTO GODS,"EARTHGANG,JID,J. Cole",2022-02-25,303400,53,True,o521z02pw23ivep6jemptk48g,2023-10-01T10:26:47Z,rap,Dreamville/Interscope,0.842,0.657,6,-4.349,0,0.224,0.00428,0.0,0.112,0.707,140.057,4,2k23,EARTHGANG,JID,J. Cole,,,
spotify:track:052u4QZO063LwU0I08sTKy,John Redcorn - A COLORS SHOW,John Redcorn - A COLORS SHOW,SiR,2019-08-23,216000,0,False,o521z02pw23ivep6jemptk48g,2023-10-01T10:27:53Z,"alternative r&b,neo soul",Top Dawg Entertainment/RCA Records,0.739,0.361,6,-10.954,0,0.274,0.261,8.84e-05,0.148,0.494,144.006,4,2k23,SiR,,,,,
spotify:track:4IR1ZygDYovtGiuyZFxgNt,Tiramisu fraise,La boulangerie (Back Burners),"La Fine Equipe,Blanka",2018-06-20,139464,52,False,o521z02pw23ivep6jemptk48g,2023-10-01T10:28:28Z,trip hop,Nowadays Records,0.801,0.586,5,-6.769,0,0.0319,0.526,0.0138,0.146,0.886,83.656,4,2k23,La Fine Equipe,Blanka,,,,
spotify:track:1VMdwVq0yaTc4DeqSCi7DO,White,channel ORANGE,"Frank Ocean,John Mayer",2012-07-10,76280,63,False,o521z02pw23ivep6jemptk48g,2023-10-01T10:33:18Z,singer-songwriter,Red Zone Entertainment / IDJ,0.608,0.0664,1,-18.857,1,0.0596,0.758,0.945,0.0978,0.294,139.232,4,2k23,Frank Ocean,John Mayer,,,,
spotify:track:79yuXftnUyQtU22Wp6mm55,Bya Wala Bik,Malak,Racha Rizk,2017-02-17,194000,26,False,o521z02pw23ivep6jemptk48g,2023-10-01T10:33:44Z,,Buzzprod,0.569,0.322,4,-11.458,0,0.0917,0.294,0.0398,0.1,0.265,159.82,5,2k23,Racha Rizk,,,,,
spotify:track:5zMYGqq1UgoyyyevlTz1BD,Wahda Fada'ya,Wahda Fada'ya,"Galaleo,Amir Eid",2022-02-17,178933,38,False,o521z02pw23ivep6jemptk48g,2023-10-01T10:38:52Z,"egyptian pop,arabic hip hop,egyptian hip hop",Major Key Productions,0.82,0.525,5,-8.072,0,0.0378,0.0957,0.000113,0.0939,0.923,119.996,4,2k23,Galaleo,Amir Eid,,,,
spotify:track:2kM3gIkHRiikiaIUFk3Fje,Who Shot Ya? - 2007 Remaster,Greatest Hits,The Notorious B.I.G.,2007-03-02,316506,56,True,o521z02pw23ivep6jemptk48g,2023-10-01T10:40:14Z,"old school hip hop,gangster rap,east coast hip hop,hip hop",Bad Boy Records,0.824,0.73,11,-5.183,0,0.247,0.202,0.0,0.442,0.625,91.743,4,2k23,The Notorious B.I.G.,,,,,
spotify:track:0CRgG0KMoqW1IXdNdoswhF,NKD GLG,Sindibad el Ward,"Al Nather,Shabjdeed",2019-08-18,220990,44,True,o521z02pw23ivep6jemptk48g,2023-10-01T10:40:20Z,"arabic hip hop,egyptian hip hop",BLTNM,0.747,0.557,5,-6.982,1,0.0421,0.195,0.0,0.0812,0.645,144.149,4,2k23,Al Nather,Shabjdeed,,,,
spotify:track:1ZPtlRm6Judlzx1bw0mIhI,Llevarte Allí,Sobrevolando,Cultura Profética,2019-11-01,283315,0,False,o521z02pw23ivep6jemptk48g,2023-10-01T10:40:45Z,"spanish-language reggae,reggae,roots reggae,latin alternative",Sobrevolando Discos,0.817,0.567,11,-11.091,0,0.0421,0.0455,0.0086,0.0735,0.55,128.04,4,2k23,Cultura Profética,,,,,
spotify:track:2b4fX8Vl1i5tedaBYkiP6W,Es Por Ti,Un Día Normal,Juanes,2002-01-01,250693,49,False,o521z02pw23ivep6jemptk48g,2023-10-01T10:42:17Z,"latin pop,colombian pop,rock en español",Int'l Latin America,0.691,0.759,4,-6.087,1,0.0264,0.153,3.16e-05,0.161,0.854,129.949,4,2k23,Juanes,,,,,
spotify:track:3IPSBSVqnwlWu2wsexdHqo,Marble Columns (feat. Larry June),VICES,"Curren$y,Harry Fraud,Larry June",2023-06-30,190588,45,True,o521z02pw23ivep6jemptk48g,2023-10-01T10:43:47Z,southern hip hop,"Jet Life Recordings / SRFSCHL, LLC",0.548,0.723,6,-8.288,0,0.244,0.017,0.000327,0.465,0.589,135.892,4,2k23,Curren$y,Harry Fraud,Larry June,,,
spotify:track:21BzP8ibpITCQF4vnVkbaJ,Spin The Block,Spin The Block,K CAMP,2023-05-26,166026,0,True,o521z02pw23ivep6jemptk48g,2023-10-01T10:44:10Z,,RARE Sound,0.798,0.574,0,-11.162,1,0.444,0.15,0.0,0.168,0.548,109.959,4,2k23,K CAMP,,,,,
spotify:track:3PMOlEdBE9d30q14JDPm02,Bye Bye Lmiziria - Remix,Bye Bye Lmiziria (Remix),"Didou Parisien,DJ Psyico",2020-09-09,275260,42,False,o521z02pw23ivep6jemptk48g,2023-10-01T10:47:20Z,"raï,moroccan pop",DJ Psyico Mix,0.734,0.682,6,-12.738,0,0.0513,0.488,0.0,0.129,0.946,91.986,4,2k23,Didou Parisien,DJ Psyico,,,,
spotify:track:4pepbIXjq5Thakr90P3VHq,Year Zero,Maps,"billy woods,Kenny Segal,Danny Brown",2023-05-05,220000,35,True,o521z02pw23ivep6jemptk48g,2023-10-01T10:47:42Z,"experimental hip hop,alternative hip hop,east coast hip hop,underground hip hop,experimental,jazz rap",Backwoodz Studioz,0.51,0.765,0,-6.464,1,0.201,0.209,0.0,0.141,0.44,90.542,3,2k23,billy woods,Kenny Segal,Danny Brown,,,
spotify:track:5t4MFm9rviWqAVABec46XE,Kenwood Speakers,Maps,"billy woods,Kenny Segal",2023-05-05,81757,34,True,o521z02pw23ivep6jemptk48g,2023-10-01T10:50:18Z,"experimental hip hop,alternative hip hop,east coast hip hop,underground hip hop,experimental,jazz rap",Backwoodz Studioz,0.651,0.705,6,-9.115,1,0.346,0.0384,0.0,0.472,0.347,159.866,4,2k23,billy woods,Kenny Segal,,,,
spotify:track:0b2b3WzP0QxuA0R7mKg9CL,FaceTime,Maps,"billy woods,Kenny Segal,Samuel T. Herring",2023-05-05,212147,40,False,o521z02pw23ivep6jemptk48g,2023-10-01T10:53:08Z,"experimental hip hop,alternative hip hop,east coast hip hop,underground hip hop,experimental,jazz rap",Backwoodz Studioz,0.598,0.821,6,-7.338,0,0.239,0.0789,0.0,0.331,0.577,139.198,4,2k23,billy woods,Kenny Segal,Samuel T. Herring,,,
spotify:track:3sNVsP50132BTNlImLx70i,Bound 2,Yeezus,Kanye West,2013-06-18,229146,83,True,o521z02pw23ivep6jemptk48g,2023-10-01T10:56:37Z,rap,Rock The World/IDJ/Kanye/LP6,0.367,0.665,1,-2.821,1,0.0465,0.145,0.0,0.113,0.31,148.913,4,2k23,Kanye West,,,,,
spotify:track:0TFzKqmZl7HjklWP0KWqXt,Soft Landing,Maps,"billy woods,Kenny Segal",2023-05-05,173647,40,True,o521z02pw23ivep6jemptk48g,2023-10-01T10:56:48Z,"experimental hip hop,alternative hip hop,east coast hip hop,underground hip hop,experimental,jazz rap",Backwoodz Studioz,0.501,0.676,8,-9.146,1,0.436,0.454,0.0,0.54,0.483,83.239,4,2k23,billy woods,Kenny Segal,,,,
spotify:track:0nbXyq5TXYPCO7pr3N8S4I,The Box,Please Excuse Me for Being Antisocial,Roddy Ricch,2019-12-06,196652,83,True,o521z02pw23ivep6jemptk48g,2023-10-01T10:59:32Z,melodic rap,Atlantic Records,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,4,2k23,Roddy Ricch,,,,,
spotify:track:7G7JDbnMzPv0UhuQ6OnBVV,Como Que No?,Fuerte Y Caliente,Onda Vaga,2008-01-01,167100,44,False,o521z02pw23ivep6jemptk48g,2023-10-01T11:00:45Z,"latin folk,latin alternative",Onda Vaga,0.733,0.4,9,-15.429,0,0.0899,0.501,0.0,0.443,0.806,86.044,4,2k23,Onda Vaga,,,,,
spotify:track:55nSQ0bhYhnN9Gr6yKAF86,Ilegal,La Dulzura,Cultura Profética,2010-08-22,306005,36,False,o521z02pw23ivep6jemptk48g,2023-10-01T11:01:40Z,"spanish-language reggae,reggae,roots reggae,latin alternative",Sobrevolando Discos,0.826,0.577,10,-4.707,0,0.0485,0.366,0.0,0.0923,0.772,116.916,4,2k23,Cultura Profética,,,,,
spotify:track:0sKbxxrdRnxQRXYwkPUA7U,1.6,1.6,TIF,2023-03-10,172344,43,True,o521z02pw23ivep6jemptk48g,2023-10-01T11:04:06Z,"french rap,moroccan rap,moroccan pop",HOUMA SWEET HOUMA,0.607,0.661,11,-9.565,0,0.488,0.635,6.71e-06,0.0941,0.283,114.734,4,2k23,TIF,,,,,
spotify:track:29YCwsEi5roJ6CI8rpADgJ,Masajin,Masajin,Junior Hassen,2023-05-18,220704,0,True,o521z02pw23ivep6jemptk48g,2023-10-01T11:04:22Z,"arabic hip hop,moroccan rap",Junior Hassen,0.838,0.471,11,-12.814,0,0.345,0.787,0.0,0.0696,0.656,86.993,4,2k23,Junior Hassen,,,,,
spotify:track:6PKolVvOlaQPdzH5R8uzah,Ramallah,Ramallah,Junior Hassen,2023-06-27,271336,0,True,o521z02pw23ivep6jemptk48g,2023-10-01T11:04:27Z,"arabic hip hop,moroccan rap",Junior Hassen,0.846,0.683,11,-6.884,1,0.282,0.425,0.0,0.115,0.797,86.957,4,2k23,Junior Hassen,,,,,
spotify:track:6Lxn2eH9UE7Gh91DQNXPGM,I Don't Give A F,GOOD KID TOXIC CITY.,XIIVI,2022-01-09,133607,0,True,o521z02pw23ivep6jemptk48g,2023-10-01T11:05:04Z,arabic hip hop,XIIVI,0.863,0.278,7,-14.415,1,0.588,0.297,0.0,0.111,0.438,80.003,4,2k23,XIIVI,,,,,
spotify:track:7gkHku7pVXzFedxquSCLGU,Mooja 1.0 (intro),Waves,SAFFWIZZ,2021-07-23,98053,28,False,o521z02pw23ivep6jemptk48g,2023-10-01T11:14:55Z,"arabic hip hop,moroccan rap",Bloc C Records,0.678,0.669,0,-7.99,0,0.0966,0.507,0.0,0.267,0.358,112.078,4,2k23,SAFFWIZZ,,,,,
spotify:track:2cVIKCgIfYOYyyXfQEstZN,hue_man nature,hue_man nature,"Saba,No ID",2023-06-01,100666,41,True,o521z02pw23ivep6jemptk48g,2023-10-01T11:16:24Z,,From the private collection of Saba and No ID,0.661,0.589,4,-9.652,0,0.312,0.0788,0.0,0.223,0.681,85.535,4,2k23,Saba,No ID,,,,
spotify:track:7klvtRfdYRBL8OtpM37a9r,Sba9ni Wechka,Sba9ni Wechka,"Erkez Hiphop,Tiga Blackna,Vipa",2021-04-14,211415,23,False,o521z02pw23ivep6jemptk48g,2023-10-01T11:19:11Z,arabic hip hop,DEBO,0.63,0.378,9,-12.258,0,0.266,0.178,9.87e-06,0.101,0.358,95.016,4,2k23,Erkez Hiphop,Tiga Blackna,Vipa,,,
spotify:track:6Sp7lTeNIPCmLwflmdZwR8,Per Noi,Per Noi,"Madou Mc,Ktyb,Flucci",2021-12-19,192000,7,True,o521z02pw23ivep6jemptk48g,2023-10-01T11:20:46Z,arabic hip hop,TAG Label,0.523,0.489,2,-9.579,0,0.264,0.0856,0.0,0.087,0.198,160.154,4,2k23,Madou Mc,Ktyb,Flucci,,,
spotify:track:3sPhmkE64mHg3tIjkVDCX3,Gotham,DECLIC,"Madou Mc,Dawan,Trax",2023-08-01,166400,0,True,o521z02pw23ivep6jemptk48g,2023-10-01T11:20:57Z,arabic hip hop,TAG Label,0.843,0.521,8,-11.962,0,0.411,0.286,0.000135,0.125,0.517,149.997,4,2k23,Madou Mc,Dawan,Trax,,,
spotify:track:2GlHqIuheSKWvVtHmdySo8,Range ton arme,DECLIC,"Madou Mc,Malik Shtarac,Vipa",2023-08-01,257367,4,False,o521z02pw23ivep6jemptk48g,2023-10-01T11:24:41Z,arabic hip hop,TAG Label,0.726,0.512,1,-10.578,1,0.32,0.613,0.0019,0.122,0.447,89.976,4,2k23,Madou Mc,Malik Shtarac,Vipa,,,
spotify:track:0ht0NTzJCbrS6yO1MU3Jgi,Koulou Banat,Koulou Banat,Gharam Electric,2023-05-01,314364,11,False,o521z02pw23ivep6jemptk48g,2023-10-01T11:33:11Z,,Tiny House Music,0.686,0.596,7,-9.639,0,0.031,0.0333,0.165,0.134,0.925,135.126,4,2k23,Gharam Electric,,,,,
spotify:track:3ouEZopOzaMe3RfGoku1cP,We Battle The Shadows,We Battle The Shadows,"Cheb terro,Dryveins",2022-12-23,185064,0,True,o521z02pw23ivep6jemptk48g,2023-10-01T11:33:21Z,arabic hip hop,Cheb Terro,0.729,0.685,1,-10.753,1,0.218,0.302,4.52e-06,0.0848,0.299,136.018,4,2k23,Cheb terro,Dryveins,,,,
spotify:track:4AUZY4gYlwGCCxnNmIKkj4,AL Cheb Never Dies,Drynie's World,"Omara,Dryveins",2021-07-11,109212,1,True,o521z02pw23ivep6jemptk48g,2023-10-01T11:48:26Z,arabic hip hop,Meth Lab,0.657,0.458,7,-10.313,1,0.401,0.246,0.0,0.118,0.541,95.576,4,2k23,Omara,Dryveins,,,,
spotify:track:7BeS6ROACkXGqdzvn86k0X,اكحل,COLLECTION OF CHEB TERRO X DJ HRIZEN,"DJ Hrizen,Cheb terro",2022-07-14,203855,11,True,o521z02pw23ivep6jemptk48g,2023-10-01T11:51:21Z,arabic hip hop,Phantom Production,0.706,0.308,8,-17.981,1,0.516,0.864,0.00387,0.106,0.296,145.181,4,2k23,DJ Hrizen,Cheb terro,,,,
spotify:track:6BZFzi6roce3ZBQ6dq13f7,Michael Irvin,Flygod Is An Awesome God 2,Westside Gunn,2020-07-03,159700,55,True,o521z02pw23ivep6jemptk48g,2023-10-01T11:52:49Z,"boom bap,alternative hip hop,jazz rap",Griselda Records,0.464,0.524,2,-6.934,1,0.369,0.74,0.0,0.41,0.198,179.926,4,2k23,Westside Gunn,,,,,
spotify:track:2ysxBvjOEr2SaHpedUh4Wl,Petite foulée,Petite foulée,Mizo-H,2020-02-04,146129,13,True,o521z02pw23ivep6jemptk48g,2023-10-01T11:56:37Z,arabic hip hop,Mizo-H,0.87,0.782,1,-9.621,1,0.412,0.496,0.0,0.105,0.747,122.909,4,2k23,Mizo-H,,,,,
spotify:track:65RTWdjn4tIfSypXjEbd06,9OLI CHKOUN,9OLI CHKOUN,RARE,2022-09-02,144037,0,True,o521z02pw23ivep6jemptk48g,2023-10-01T12:03:51Z,arabic hip hop,Pas Comme Eux Records,0.548,0.591,1,-6.346,1,0.215,0.0608,0.0,0.102,0.213,110.979,5,2k23,RARE,,,,,
spotify:track:2Ji8FjdV2QVYp4LqWfwk0J,Sahloul 2016,COLLECTION OF CHEB TERRO X DJ HRIZEN,"DJ Hrizen,Cheb terro",2022-07-14,252072,18,True,o521z02pw23ivep6jemptk48g,2023-10-01T12:29:32Z,arabic hip hop,Phantom Production,0.815,0.478,2,-11.795,1,0.234,0.247,5.88e-05,0.0877,0.453,150.023,4,2k23,DJ Hrizen,Cheb terro,,,,
spotify:track:7oyBkFzj1UmLrkjZBfB7sU,Yung Chuky,COLLECTION OF CHEB TERRO X DJ HRIZEN,"DJ Hrizen,Cheb terro",2022-07-14,158495,10,True,o521z02pw23ivep6jemptk48g,2023-10-01T12:30:53Z,arabic hip hop,Phantom Production,0.587,0.728,9,-6.66,1,0.292,0.0321,0.0,0.377,0.399,148.012,4,2k23,DJ Hrizen,Cheb terro,,,,
spotify:track:6DM0UTr1IqYx0JePA9kIXL,Win Mechin - Deluxe Version,Win Mechin (Deluxe Version),"SAFFWIZZ,RamsJamsss",2022-10-28,170679,0,True,o521z02pw23ivep6jemptk48g,2023-10-01T12:33:41Z,"arabic hip hop,moroccan rap",Bloc C Records,0.481,0.565,7,-12.197,0,0.382,0.344,0.0,0.813,0.762,103.075,4,2k23,SAFFWIZZ,RamsJamsss,,,,
